symbol,corp_code,corp_name,stock_name,industryCode,industryName,establishedDate,ceo,homepage,address,businessSummary,updatedAt
064350,00302926,현대로템(주),현대로템,31910,기타 운송장비 제조,19990701,이용배,www.hyundai-rotem.co.kr,경상남도 창원시 의창구  창원대로 488,기타 운송장비 제조 · 1999년 설립,2026-08-03 06:52:55
066970,00398701,(주)엘앤에프,엘앤에프,28202,전기장비 제조,20000727,허제홍,www.landf.co.kr/,대구광역시 달서구 이곡동로 11,전기장비 제조 · 2000년 설립,2026-08-03 06:52:55
067310,00445054,하나마이크론(주),하나마이크론,2611,전자부품·컴퓨터·통신장비 제조,20010823,이동철,www.hanamicron.co.kr,충남 아산시 음봉면 원남리 95-1번지,전자부품·컴퓨터·통신장비 제조 · 2001년 설립,2026-08-03 06:52:55
068270,00413046,(주)셀트리온,셀트리온,21100,의료용 물질·의약품 제조,19910227,"기우성, 서진석",www.celltrion.com,인천광역시 연수구 아카데미로 23,의료용 물질·의약품 제조 · 1991년 설립,2026-08-03 06:52:55
078930,00500254,(주)GS,GS,64992,금융업,20040701,"허태수, 홍순기 (각자 대표이사)",-,서울특별시 강남구 논현로 508,금융업 · 2004년 설립,2026-08-03 06:52:55
079550,00503668,엘아이지디펜스앤에어로스페이스(주),LIG디펜스앤에어로스페이스,25200,금속가공제품 제조,19980225,신익현,www.lignex1.com,경기도 용인시 기흥구 마북로 207 엘아이지넥스원(주),금속가공제품 제조 · 1998년 설립,2026-08-03 06:52:55
086280,00360595,현대글로비스(주),현대글로비스,5299,운송 관련 서비스,20010222,이규복,www.glovis.net,서울특별시 성동구 왕십리로 83-21 -,운송 관련 서비스 · 2001년 설립,2026-08-03 06:52:55
086520,00536541,(주)에코프로,에코프로,64992,금융업,19981022,송호준,www.ecopro.co.kr,충청북도 청주시 청원구 오창읍 과학산업2로 587-40 주식회사 에코프로,금융업 · 1998년 설립,2026-08-03 06:52:55
086790,00547583,(주)하나금융지주,하나금융지주,64992,금융업,20051201,함영주,www.hanafn.com,서울특별시 중구 을지로 66 (을지로 2가),금융업 · 2005년 설립,2026-08-03 06:52:55
086900,00580199,(주)메디톡스,메디톡스,211,의료용 물질·의약품 제조,20000502,정현호,www.medytox.com,충청북도 청원군  오창읍 각리1길 78 (주)메디톡스,의료용 물질·의약품 제조 · 2000년 설립,2026-08-03 06:52:55
089030,00535676,(주)테크윙,테크윙,29271,기타 기계·장비 제조,20020801,"나윤성, 장 남 각자대표",techwing.co.kr,경기도 화성시 동탄면 동탄산단6길 37,기타 기계·장비 제조 · 2002년 설립,2026-08-03 06:52:55
090360,00536523,(주)로보스타,로보스타,29280,기타 기계·장비 제조,19990226,배병주,robostar.co.kr,경기도 안산시 상록구  수인로 700,기타 기계·장비 제조 · 1999년 설립,2026-08-03 06:52:55
095340,00572905,(주)아이에스시,ISC,465,도매·상품중개,20010222,김정렬 (단독 대표이사),isc21.kr,경기도 성남시 수정구 금토로40번길 26 -,도매·상품중개 · 2001년 설립,2026-08-03 06:52:55
096770,00631518,SK이노베이션(주),SK이노베이션,192,코크스·석유정제,20070703,"추형욱, 장용호",www.SKinnovation.com,서울특별시 종로구  종로 26,코크스·석유정제 · 2007년 설립,2026-08-03 06:52:55
103590,00683469,일진전기(주),일진전기,2830,전기장비 제조,20080702,유상석(단독 대표이사),-,경기도 화성시  만년로 905-17,전기장비 제조 · 2008년 설립,2026-08-03 06:52:55
105560,00688996,(주)KB금융지주,KB금융,64992,금융업,20080929,양종희,www.kbfg.com,"서울특별시 영등포구 국제금융로8길 26 (여의도동, 국민은행 여의도본점)",금융업 · 2008년 설립,2026-08-03 06:52:55
108320,00525934,(주)엘엑스세미콘,LX세미콘,2612,전자부품·컴퓨터·통신장비 제조,19991111,이윤태,www.lxsemicon.com,대전광역시 유성구 테크노2로 222,전자부품·컴퓨터·통신장비 제조 · 1999년 설립,2026-08-03 06:52:55
108490,00946030,(주)로보티즈,로보티즈,29299,기타 기계·장비 제조,19990325,김병수,www.robotis.com,서울특별시 강서구 마곡중앙5로1길 37,기타 기계·장비 제조 · 1999년 설립,2026-08-03 06:52:55
121600,00439965,(주)나노신소재,나노신소재,2049,화학물질·화학제품 제조,20000315,박장우,anapro.com,세종특별자치시   부강면 금호안골길 78 부용지방산업단지내,화학물질·화학제품 제조 · 2000년 설립,2026-08-03 06:52:55
128940,00828497,한미약품(주),한미약품,21212,의료용 물질·의약품 제조,20100705,황상연,-,경기도 화성시  팔탄면 무하로 214,의료용 물질·의약품 제조 · 2010년 설립,2026-08-03 06:52:55
131970,00563545,(주)두산테스나,두산테스나,739,기타 전문·과학·기술 서비스,20020906,"김윤건, 조훈",www.tesna.co.kr,경기도 평택시 산단로 16번길 72,기타 전문·과학·기술 서비스 · 2002년 설립,2026-08-03 06:52:55
138040,00860332,(주)메리츠금융지주,메리츠금융지주,64992,금융업,20110328,김용범,www.meritzgroup.com,서울특별시 강남구  강남대로 382,금융업 · 2011년 설립,2026-08-03 06:52:55
145020,00888347,휴젤(주),휴젤,211,의료용 물질·의약품 제조,20011122,Doohyun Chang,www.hugel.co.kr,강원특별자치도 춘천시 동내면 거두단지1길 23 -,의료용 물질·의약품 제조 · 2001년 설립,2026-08-03 06:52:55
196170,00989619,(주)알테오젠,알테오젠,70113,연구개발업,20080513,전태연,www.alteogen.com,대전광역시 유성구 유성대로1628번길 62 (전민동 461-38번지),연구개발업 · 2008년 설립,2026-08-03 06:52:55
207940,00877059,삼성바이오로직스(주),삼성바이오로직스,211,의료용 물질·의약품 제조,20110422,임존종보 (Rim John Chongbo),www.samsungbiologics.com,인천광역시 연수구 송도바이오대로 300,의료용 물질·의약품 제조 · 2011년 설립,2026-08-03 06:52:55
214150,01061327,(주)클래시스,클래시스,271,의료·정밀·광학기기 제조,20150115,Jun-oh Yoon,classys.co.kr,서울특별시 강남구 테헤란로 208 클래시스,의료·정밀·광학기기 제조 · 2015년 설립,2026-08-03 06:52:55
214450,00970453,(주)파마리서치,파마리서치,213,의료용 물질·의약품 제조,20010303,손지훈,pharmaresearch.com/,강원도 강릉시  과학단지로 77-19 &nbsp,의료용 물질·의약품 제조 · 2001년 설립,2026-08-03 06:52:55
222800,01095722,(주)심텍,심텍,2622,전자부품·컴퓨터·통신장비 제조,20150701,"전영선, 김영구",www.simmtech.co.kr,충청북도 청주시 흥덕구 산단로 73 &nbsp,전자부품·컴퓨터·통신장비 제조 · 2015년 설립,2026-08-03 06:52:55
240810,01135941,(주)원익아이피에스,원익IPS,292,기타 기계·장비 제조,20160404,Tae Hyuk Ahn,www.ips.co.kr,경기도 평택시 진위면 진위산단로 75,기타 기계·장비 제조 · 2016년 설립,2026-08-03 06:52:55
247540,01160363,(주)에코프로비엠,에코프로비엠,28202,전기장비 제조,20160502,"각자 대표이사 최문호, 김장우",www.ecoprobm.co.kr,충청북도 청주시 청원구 오창읍 2산단로 100 송대리 329,전기장비 제조 · 2016년 설립,2026-08-03 06:52:55
259960,00760971,주식회사 크래프톤,크래프톤,5821,출판업,20070326,김창한,www.krafton.com,서울특별시 강남구 테헤란로 231,출판업 · 2007년 설립,2026-08-03 06:52:55
267260,01205851,에이치디현대일렉트릭(주),HD현대일렉트릭,281,전기장비 제조,20170403,김영기,www.hd-hyundaielectric.com,경기도 성남시 분당구 분당수서로 477 HD현대 글로벌 R&D센터,전기장비 제조 · 2017년 설립,2026-08-03 06:52:55
272210,00339391,한화시스템(주),한화시스템,26299,전자부품·컴퓨터·통신장비 제조,20000111,손재일,hanwhasystems.com,경상북도 구미시 산호대로 264-60 -,전자부품·컴퓨터·통신장비 제조 · 2000년 설립,2026-08-03 06:52:55
277810,01261644,(주)레인보우로보틱스,레인보우로보틱스,29280,기타 기계·장비 제조,20110210,이정호,www.rainbow-robotics.com/new/index_ko.php,세종특별자치시  집현중앙3로 8 세종특별자치시 집현중앙3로 8(집현동),기타 기계·장비 제조 · 2011년 설립,2026-08-03 06:52:55
278280,00897752,(주)천보,천보,201,화학물질·화학제품 제조,20071008,이상율,www.chunbochem.com/,충청북도 충주시 주덕읍 중원산업로 312,화학물질·화학제품 제조 · 2007년 설립,2026-08-03 06:52:55
278470,01190568,(주)에이피알,에이피알,20423,화학물질·화학제품 제조,20141010,김병훈,apr-in.com,"서울특별시 송파구 올림픽로 300 36층(신천동, 롯데월드타워앤드롯데월드몰)",화학물질·화학제품 제조 · 2014년 설립,2026-08-03 06:52:55
293490,01137383,(주)카카오게임즈,카카오게임즈,5821,출판업,20130822,"김태환, 이시우 (공동대표이사)",kakaogames.com,"경기도 성남시 분당구 판교역로 152, 14층(백현동, 알파돔타워 3) &nbsp",출판업 · 2013년 설립,2026-08-03 06:52:55
298040,01316245,효성중공업(주),효성중공업,281,전기장비 제조,20180604,우태희,www.hyosungheavyindustries.com,서울특별시 마포구 마포대로 119 효성빌딩,전기장비 제조 · 2018년 설립,2026-08-03 06:52:55
326030,00878696,에스케이바이오팜 주식회사,에스케이바이오팜,7011,연구개발업,20110401,이동훈,www.skbp.com,경기도 성남시 분당구 판교역로 221,연구개발업 · 2011년 설립,2026-08-03 06:52:55
329180,01390344,에이치디현대중공업(주),HD현대중공업,31113,기타 운송장비 제조,20190603,"이상균, 금석호 (각자 대표이사)",www.hhi.co.kr,울산광역시 동구 방어진순환도로 1000,기타 운송장비 제조 · 2019년 설립,2026-08-03 06:52:55
352820,01204056,(주)하이브,하이브,592,영상·오디오 제작,20050204,이재상,hybecorp.com,서울특별시 용산구 한강대로 42 용산트레이드센터,영상·오디오 제작 · 2005년 설립,2026-08-03 06:52:55
353200,01478712,대덕전자(주),대덕전자,2622,전자부품·컴퓨터·통신장비 제조,20200501,신영환,www.daeduck.com,경기도 안산시 단원구 강촌로 230,전자부품·컴퓨터·통신장비 제조 · 2020년 설립,2026-08-03 06:52:55
373220,01515323,(주)엘지에너지솔루션,LG에너지솔루션,28202,전기장비 제조,20201201,김동명,www.lgensol.com,"서울특별시 영등포구 여의대로 108, 타워 1",전기장비 제조 · 2020년 설립,2026-08-03 06:52:55
375500,01524093,디엘이앤씨 주식회사,DL이앤씨,412,종합 건설,20210104,박상신,www.dlenc.co.kr,"서울특별시 강서구 공항대로 165 에이동(마곡동, 원그로브)",종합 건설 · 2021년 설립,2026-08-03 06:52:55
402340,01596425,에스케이스퀘어 주식회사,SK스퀘어,64992,금융업,20211102,김정규,www.sksquare.com,서울특별시 중구 을지로 65 SK T타워,금융업 · 2021년 설립,2026-08-03 06:52:55
403870,01288827,주식회사 에이치피에스피,HPSP,29271,기타 기계·장비 제조,20170314,이케빈기두,www.thehpsp.com/,경기도 화성시 삼성1로1길 26 석우동,기타 기계·장비 제조 · 2017년 설립,2026-08-03 06:52:55
454910,01105153,두산로보틱스 주식회사,두산로보틱스,2928,기타 기계·장비 제조,20150731,"박인원, 김민표, 조길성",www.doosanrobotics.com,경기도 수원시 권선구 산업로156번길 79,기타 기계·장비 제조 · 2015년 설립,2026-08-03 06:52:55
