date,open,high,low,close,volume,source
2025-01-06,707.87,718.86,707.87,717.96,1100,yfinance
2025-01-07,719.68,723.09,717.07,718.29,1200,yfinance
2025-01-08,713.78,720.21,712.62,719.63,1100,yfinance
2025-01-09,718.89,723.7,712.35,723.52,1000,yfinance
2025-01-10,722.21,723.47,715.68,717.89,900,yfinance
2025-01-13,713.98,718.96,707.6,708.21,800,yfinance
2025-01-14,712.03,718.6,709.11,718.04,900,yfinance
2025-01-15,722.16,722.34,709.82,711.61,1000,yfinance
2025-01-16,720.35,725.78,720.35,724.24,800,yfinance
2025-01-17,723.05,725.54,722.28,724.69,800,yfinance
2025-01-20,727.59,728.51,722.77,727.66,800,yfinance
2025-01-21,728.57,733.91,720.73,726.07,860900,yfinance
2025-01-22,731.17,733.89,729.46,732.31,900,yfinance
2025-01-23,731.69,731.72,723.49,724.01,900,yfinance
2025-01-24,725.78,731.7,722.82,728.74,800,yfinance
2025-01-31,724.96,728.41,723.3,728.29,700,yfinance
2025-02-03,718.26,718.26,700.57,703.8,800,yfinance
2025-02-04,713.55,726.28,713.55,719.92,1000,yfinance
2025-02-05,724.6,731.92,724.6,730.98,800,yfinance
2025-02-06,735.94,740.32,734.91,740.32,900,yfinance
2025-02-07,739.88,744.68,737.61,742.9,1000,yfinance
2025-02-10,740.12,750.46,735.71,749.67,1000,yfinance
2025-02-11,751.25,754.62,749.36,749.59,1000,yfinance
2025-02-12,748.65,748.65,742.85,745.18,900,yfinance
2025-02-13,748.69,751.83,744.83,749.28,800,yfinance
2025-02-14,752.08,758.72,752.04,756.32,900,yfinance
2025-02-17,759.21,768.48,757.77,768.48,900,yfinance
2025-02-18,769.93,773.77,765.99,773.65,1100,yfinance
2025-02-19,774.12,778.98,772.63,778.27,900,yfinance
2025-02-20,777.78,781.54,766.83,768.27,1000,yfinance
2025-02-21,768.39,774.78,767.18,774.65,900,yfinance
2025-02-24,766.94,773.51,764.48,773.33,900,yfinance
2025-02-25,766.85,773.91,765.26,769.43,1000,yfinance
2025-02-26,769.0,774.2,766.69,771.41,900,yfinance
2025-02-27,774.13,776.57,769.6,770.85,800,yfinance
2025-02-28,760.1,760.1,743.95,743.96,900,yfinance
2025-03-04,739.68,739.68,730.96,737.9,600,yfinance
2025-03-05,743.35,748.82,740.69,746.95,700,yfinance
2025-03-06,750.43,750.43,733.49,734.92,800,yfinance
2025-03-07,729.43,738.1,725.97,727.7,700,yfinance
2025-03-10,724.78,732.62,720.13,725.82,600,yfinance
2025-03-11,710.2,721.7,706.96,721.5,800,yfinance
2025-03-12,724.58,734.14,723.52,729.49,700,yfinance
2025-03-13,735.75,737.29,722.28,722.8,800,yfinance
2025-03-14,723.75,736.84,723.71,734.26,700,yfinance
2025-03-17,740.14,743.77,735.32,743.51,700,yfinance
2025-03-18,747.71,748.07,742.29,745.54,700,yfinance
2025-03-19,743.21,747.53,737.52,738.35,700,yfinance
2025-03-20,743.06,743.39,725.1,725.15,700,yfinance
2025-03-21,724.94,727.15,713.82,719.41,700,yfinance
2025-03-24,721.39,725.34,718.67,720.22,700,yfinance
2025-03-25,725.34,725.84,709.67,711.26,700,yfinance
2025-03-26,714.36,717.3,705.38,716.48,700,yfinance
2025-03-27,710.98,718.2,706.86,707.49,800,yfinance
2025-03-28,708.97,709.33,691.76,693.76,1000,yfinance
2025-03-31,683.42,686.17,671.91,672.85,900,yfinance
2025-04-01,681.58,695.73,677.86,691.45,800,yfinance
2025-04-02,695.37,696.48,683.3,684.85,800,yfinance
2025-04-03,670.75,685.16,669.85,683.49,700,yfinance
2025-04-04,677.23,697.72,674.66,687.39,1000,yfinance
2025-04-07,667.02,667.02,651.29,651.3,900,yfinance
2025-04-08,666.01,668.82,656.07,658.45,900,yfinance
2025-04-09,653.84,657.45,637.55,643.39,800,yfinance
2025-04-10,670.12,681.79,669.99,681.79,900,yfinance
2025-04-11,673.09,695.59,672.74,695.59,1000,yfinance
2025-04-14,699.99,709.05,699.21,708.98,1100,yfinance
2025-04-15,709.51,712.69,704.61,711.92,900,yfinance
2025-04-16,710.38,711.38,698.58,699.11,1000,yfinance
2025-04-17,700.11,711.91,700.11,711.75,1100,yfinance
2025-04-18,713.52,717.77,708.2,717.77,1200,yfinance
2025-04-21,717.25,722.18,714.05,715.45,1200,yfinance
2025-04-22,711.42,717.86,711.03,716.12,1300,yfinance
2025-04-23,724.33,726.1,720.42,726.08,1100,yfinance
2025-04-24,726.95,729.49,723.33,726.08,1200,yfinance
2025-04-25,729.56,732.8,728.21,729.69,1000,yfinance
2025-04-28,730.58,732.44,718.14,719.41,1000,yfinance
2025-04-29,722.94,727.8,721.42,726.46,900,yfinance
2025-04-30,726.19,727.27,715.33,717.24,900,yfinance
2025-05-02,716.6,723.77,714.07,721.86,700,yfinance
2025-05-07,722.41,722.81,714.8,722.81,700,yfinance
2025-05-08,725.81,730.72,725.81,729.59,700,yfinance
2025-05-09,731.01,731.01,719.83,722.52,900,yfinance
2025-05-12,724.47,727.56,719.23,725.4,1016100,yfinance
2025-05-13,731.11,735.85,730.76,731.88,1200,yfinance
2025-05-14,732.2,739.05,726.51,739.05,1000,yfinance
2025-05-15,738.15,738.28,732.59,733.23,1100,yfinance
2025-05-16,734.38,734.38,722.99,725.07,1100,yfinance
2025-05-19,721.27,721.31,710.47,713.75,1300,yfinance
2025-05-20,719.36,722.17,715.12,715.55,1000,yfinance
2025-05-21,720.64,726.68,719.96,723.62,800,yfinance
2025-05-22,720.96,720.96,714.71,717.67,1100,yfinance
2025-05-23,720.5,720.5,713.22,715.98,1000,yfinance
2025-05-26,718.48,726.93,716.86,725.27,800,yfinance
2025-05-27,727.0,727.16,723.66,727.11,800,yfinance
2025-05-28,731.06,733.48,727.6,728.79,1000,yfinance
2025-05-29,733.22,736.29,731.64,736.29,900,yfinance
2025-05-30,735.26,737.43,732.55,734.35,900,yfinance
2025-06-02,735.14,741.41,733.97,740.29,800,yfinance
2025-06-04,749.13,752.75,747.35,750.21,900,yfinance
2025-06-05,751.59,761.17,750.17,756.23,900,yfinance
2025-06-09,759.27,764.92,757.29,764.21,1100,yfinance
2025-06-10,767.91,771.2,761.36,771.2,1400,yfinance
2025-06-11,775.43,787.06,774.84,786.29,1600,yfinance
2025-06-12,786.27,793.2,784.96,789.45,1300,yfinance
2025-06-13,792.68,792.68,761.42,768.86,1100,yfinance
2025-06-16,767.64,777.68,763.81,777.26,1100,yfinance
2025-06-17,780.08,785.76,766.56,775.65,1100,yfinance
