date,market,symbol,open,high,low,close,volume,source,updatedAt
2019-06-28,kr,KOSPI,2135.06,2139.24,2123.97,2130.62,537300,yfinance/fdr,2026-08-03T23:05:42
2019-07-01,kr,KOSPI,2147.24,2147.24,2126.87,2129.74,412300,yfinance/fdr,2026-08-03T23:05:42
2019-07-02,kr,KOSPI,2122.07,2130.86,2112.52,2122.02,460800,yfinance/fdr,2026-08-03T23:05:42
2019-07-03,kr,KOSPI,2120.75,2127.71,2093.32,2096.02,522700,yfinance/fdr,2026-08-03T23:05:42
2019-07-04,kr,KOSPI,2102.36,2108.8,2088.97,2108.73,446900,yfinance/fdr,2026-08-03T23:05:42
2019-07-05,kr,KOSPI,2111.0,2115.43,2096.23,2110.59,459400,yfinance/fdr,2026-08-03T23:05:42
2019-07-08,kr,KOSPI,2091.91,2092.54,2063.78,2064.17,516000,yfinance/fdr,2026-08-03T23:05:42
2019-07-09,kr,KOSPI,2070.35,2075.3,2052.03,2052.03,440100,yfinance/fdr,2026-08-03T23:05:42
2019-07-10,kr,KOSPI,2061.55,2068.2,2056.48,2058.78,355700,yfinance/fdr,2026-08-03T23:05:42
2019-07-11,kr,KOSPI,2070.59,2088.24,2070.21,2080.58,376700,yfinance/fdr,2026-08-03T23:05:42
2019-07-12,kr,KOSPI,2083.53,2090.43,2077.35,2086.66,403900,yfinance/fdr,2026-08-03T23:05:42
2019-07-15,kr,KOSPI,2083.39,2088.34,2073.1,2082.48,463500,yfinance/fdr,2026-08-03T23:05:42
2019-07-16,kr,KOSPI,2084.46,2096.67,2078.74,2091.87,682800,yfinance/fdr,2026-08-03T23:05:42
2019-07-17,kr,KOSPI,2079.91,2080.01,2063.49,2072.92,761600,yfinance/fdr,2026-08-03T23:05:42
2019-07-18,kr,KOSPI,2068.66,2073.2,2061.33,2066.55,446600,yfinance/fdr,2026-08-03T23:05:42
2019-07-19,kr,KOSPI,2080.21,2096.73,2076.51,2094.36,394900,yfinance/fdr,2026-08-03T23:05:42
2019-07-22,kr,KOSPI,2090.35,2099.34,2087.51,2093.34,332600,yfinance/fdr,2026-08-03T23:05:42
2019-07-23,kr,KOSPI,2095.76,2106.39,2095.38,2101.45,648100,yfinance/fdr,2026-08-03T23:05:42
2019-07-24,kr,KOSPI,2097.16,2105.68,2080.66,2082.3,851400,yfinance/fdr,2026-08-03T23:05:42
2019-07-25,kr,KOSPI,2085.67,2088.81,2061.08,2074.48,598600,yfinance/fdr,2026-08-03T23:05:42
2019-07-26,kr,KOSPI,2063.35,2068.16,2054.64,2066.26,589100,yfinance/fdr,2026-08-03T23:05:42
2019-07-29,kr,KOSPI,2059.13,2063.13,2025.01,2029.48,608700,yfinance/fdr,2026-08-03T23:05:42
2019-07-30,kr,KOSPI,2035.32,2044.59,2032.61,2038.68,547000,yfinance/fdr,2026-08-03T23:05:42
2019-07-31,kr,KOSPI,2036.46,2041.16,2010.95,2024.55,589400,yfinance/fdr,2026-08-03T23:05:42
2019-08-01,kr,KOSPI,2015.09,2032.23,2009.33,2017.34,461700,yfinance/fdr,2026-08-03T23:05:42
2019-08-02,kr,KOSPI,1995.31,2005.31,1987.12,1998.13,438500,yfinance/fdr,2026-08-03T23:05:42
2019-08-05,kr,KOSPI,1985.93,1987.64,1945.39,1946.98,639600,yfinance/fdr,2026-08-03T23:05:42
2019-08-06,kr,KOSPI,1900.36,1948.53,1891.81,1917.5,739600,yfinance/fdr,2026-08-03T23:05:42
2019-08-07,kr,KOSPI,1925.33,1929.29,1901.61,1909.71,760800,yfinance/fdr,2026-08-03T23:05:42
2019-08-08,kr,KOSPI,1926.28,1937.95,1915.81,1920.61,777200,yfinance/fdr,2026-08-03T23:05:42
2019-08-09,kr,KOSPI,1940.06,1946.94,1936.14,1937.75,654300,yfinance/fdr,2026-08-03T23:05:42
2019-08-12,kr,KOSPI,1941.53,1949.19,1933.25,1942.29,427100,yfinance/fdr,2026-08-03T23:05:42
2019-08-13,kr,KOSPI,1928.76,1937.68,1923.58,1925.83,660000,yfinance/fdr,2026-08-03T23:05:42
2019-08-14,kr,KOSPI,1946.18,1952.22,1937.23,1938.37,699600,yfinance/fdr,2026-08-03T23:05:42
2019-08-16,kr,KOSPI,1921.49,1927.7,1911.72,1927.17,421700,yfinance/fdr,2026-08-03T23:05:42
2019-08-19,kr,KOSPI,1936.64,1943.09,1931.44,1939.9,481000,yfinance/fdr,2026-08-03T23:05:42
2019-08-20,kr,KOSPI,1942.99,1964.16,1937.53,1960.25,463600,yfinance/fdr,2026-08-03T23:05:42
2019-08-21,kr,KOSPI,1954.57,1971.12,1954.47,1964.65,391600,yfinance/fdr,2026-08-03T23:05:42
2019-08-22,kr,KOSPI,1966.6,1967.96,1951.01,1951.01,435600,yfinance/fdr,2026-08-03T23:05:42
