section,항목,현재가,등락률,상태,테마,관련 뉴스 개수,긍정 뉴스 비율,부정 뉴스 비율,관련 종목,테마 점수,구분,종목명,티커,RSI,MACD 상태,거래량 상태,지지선,저항선,손절가,목표가,손익비,종합점수,뉴스 보조점수,뉴스 반영점수,뉴스 모멘텀,최종판단,매수 후보,주의 신호,데이터 상태,평균매수가,수익률,평가손익,손절가 이탈 여부,익절 구간 접근 여부,현재 대응 의견,언급 횟수,긍정 뉴스,부정 뉴스,평균 중요도,datetime,title,source,summary,ticker,theme,sentiment,importance,url,market,collected_at,momentum,부정/주의 뉴스,시장,섹터,계좌,메모,현재가_숫자,평균매수가_숫자,보유수량,평가금액_숫자,매입금액_숫자,평가손익_숫자,수익률_숫자,종합점수_숫자,손익비_숫자,RSI_숫자,등락률_숫자,지지선_숫자,저항선_숫자,손절가_숫자,목표가_숫자,목표비중_숫자,포트폴리오비중_숫자,추가매수 판단,비중축소 판단,대응 의견,목표 비중,목표 대비 차이,조정 필요 여부,평가금액,포트폴리오 비중
관심종목 우선순위,,$408.35,-1.04%,,,,,,,,관심,MSFT,MSFT,35.3,약세,거래량 감소,$396.73,$433.70,$383.85,$446.71,1.57,57.1,3.0,60.1,뉴스 모멘텀 긍정,관망 우위,제외,신규 매수 금지,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관심종목 우선순위,,$387.25,-0.36%,,,,,,,,관심,GOOGL,GOOGL,79.2,강세,거래량 감소,$330.90,$402.00,$324.28,$418.23,0.49,56.2,3.0,59.2,뉴스 모멘텀 긍정,관망 우위,제외,비중 축소 검토,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관심종목 우선순위,,$412.92,-3.62%,,,,,,,,관심,AVGO,AVGO,45.8,약세,거래량 감소,$385.57,$437.68,$377.86,$450.81,1.08,54.7,3.0,57.7,뉴스 모멘텀 긍정,관망 우위,제외,신규 매수 금지,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관심종목 우선순위,,"468,000원",-1.78%,,,,,,,,관심,LG에너지솔루션,373220.KS,64.3,약세,보통,"399,000원","493,000원","391,020원","507,790원",0.52,54.2,-5.0,49.2,뉴스 리스크 주의,관망 우위,제외,신규 매수 금지,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관심종목 우선순위,,"43,200원",-1.93%,,,,,,,,관심,한국전력,015760.KS,30.1,강세,보통,"41,600원","47,650원","40,608원","49,080원",2.27,53.4,3.0,56.4,뉴스 모멘텀 긍정,관망 우위,제외,,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관심종목 우선순위,,"169,500원",+1.62%,,,,,,,,관심,한국항공우주,047810.KS,34.0,약세,거래량 감소,"163,400원","205,500원","159,330원","211,665원",4.15,51.8,0.0,51.8,뉴스 부족으로 판단 보류,관망 우위,제외,신규 매수 금지,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관심종목 우선순위,,$600.06,+0.20%,,,,,,,,관심,META,META,23.9,약세,거래량 감소,$592.65,$691.52,$564.06,$712.27,3.12,48.2,3.0,51.2,뉴스 모멘텀 긍정,관망 우위,제외,신규 매수 금지,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관심종목 우선순위,,$134.09,-2.05%,,,,,,,,관심,PLTR,PLTR,29.7,약세,거래량 감소,$131.15,$152.68,$126.04,$157.26,2.88,44.2,3.0,47.2,뉴스 모멘텀 긍정,관망 우위,제외,신규 매수 금지,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오늘의 매수 후보,,"474,000원",+4.87%,,,,,,,,관심,HD한국조선해양,009540.KS,65.3,강세,거래량 증가,"383,500원","488,000원","375,830원","511,920원",0.39,76.0,3.0,79.0,뉴스 모멘텀 긍정,돌파 확인 후 접근,관심 유지,,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오늘의 매수 후보,,$217.37,-0.95%,,,,,,,,보유,NVIDIA,NVDA,61.4,강세,거래량 감소,$194.74,$223.75,$190.85,$234.75,0.66,68.9,3.0,71.9,뉴스 모멘텀 긍정,관망 우위,관심 유지,,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
