market,ticker,total_cases,direction_hit_rate,avg_open_error_pct,avg_close_error_pct,entry_touch_rate,stop_touch_rate,tp1_touch_rate,avg_final_pnl_pct,main_failure_reason,recommended_atr_adjustment,recommended_entry_adjustment,recommended_tp_adjustment,recommended_confidence_penalty
미국주식,RKLB,3,66.6667,1.7766,2.8652,100.0000,0.0000,0.0000,1.5301,익절 목표 과도,keep,keep,lower_tp1_target,0
미국주식,SMCI,3,33.3333,1.2398,4.3744,33.3333,33.3333,0.0000,3.1358,방향 예측 실패,increase_atr_range,move_entry_closer_to_tradeable_range,lower_tp1_target,15
미국주식,SMH,3,66.6667,0.8869,0.5243,66.6667,0.0000,0.0000,1.3184,익절 목표 과도,keep,keep,lower_tp1_target,0
미국주식,SMR,3,33.3333,1.2501,2.5988,66.6667,0.0000,0.0000,2.2285,익절 목표 과도,keep,keep,lower_tp1_target,10
미국주식,SNDK,3,0.0000,2.8134,4.9584,0.0000,0.0000,0.0000,,진입가 비현실적,increase_atr_range,move_entry_closer_to_tradeable_range,lower_tp1_target,15
미국주식,SNOW,3,33.3333,0.8094,2.8892,33.3333,0.0000,33.3333,2.5255,이벤트 변동성 미반영,increase_atr_range,move_entry_closer_to_tradeable_range,keep,10
미국주식,SOXX,3,100.0000,1.5601,1.6390,33.3333,0.0000,33.3333,0.3747,익절 목표 과도,keep,move_entry_closer_to_tradeable_range,lower_tp1_target,0
미국주식,SPY,3,33.3333,1.0115,1.4227,0.0000,0.0000,33.3333,,진입가 비현실적,keep,move_entry_closer_to_tradeable_range,keep,10
미국주식,TEM,3,66.6667,1.6278,1.5213,100.0000,0.0000,0.0000,0.3822,익절 목표 과도,keep,keep,lower_tp1_target,0
미국주식,TMDX,3,33.3333,1.6067,4.5037,33.3333,0.0000,33.3333,4.8536,진입가 비현실적,increase_atr_range,move_entry_closer_to_tradeable_range,keep,15
미국주식,TSLA,3,33.3333,0.5857,1.1764,33.3333,0.0000,0.0000,-1.0038,익절 목표 과도,keep,move_entry_closer_to_tradeable_range,lower_tp1_target,10
