code,symbol,name_kr,name,market_type,sector,source,note
179530,179530.KQ,애드바이오텍,애드바이오텍,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
179900,179900.KQ,유티아이,유티아이,코스닥,미분류,KIS종목정보,전체종목마스터
180400,180400.KQ,DXVX,DXVX,코스닥,미분류,KIS종목정보,전체종목마스터
182360,182360.KQ,큐브엔터,큐브엔터,코스닥,Entertainment/Media,KIS종목정보,전체종목마스터
182400,182400.KQ,엔케이젠바이오텍코리아,엔케이젠바이오텍코리아,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
183300,183300.KQ,코미코,코미코,코스닥,Semiconductor,KIS종목정보,전체종목마스터
183490,183490.KQ,엔지켐생명과학,엔지켐생명과학,코스닥,Insurance,KIS종목정보,전체종목마스터
184230,184230.KQ,SGA솔루션즈,SGA솔루션즈,코스닥,미분류,KIS종목정보,전체종목마스터
185490,185490.KQ,아이진,아이진,코스닥,미분류,KIS종목정보,전체종목마스터
186230,186230.KQ,그린플러스,그린플러스,코스닥,Food/Beverage,KIS종목정보,전체종목마스터
187220,187220.KQ,디티앤씨,디티앤씨,코스닥,Machinery/Equipment,KIS종목정보,전체종목마스터
187270,187270.KQ,신화콘텍,신화콘텍,코스닥,미분류,KIS종목정보,전체종목마스터
187420,187420.KQ,HLB제넥스,HLB제넥스,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
187660,187660.KQ,페니트리움바이오,페니트리움바이오,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
187790,187790.KQ,나노,나노,코스닥,미분류,KIS종목정보,전체종목마스터
187870,187870.KQ,디바이스,디바이스,코스닥,Semiconductor,KIS종목정보,전체종목마스터
188040,188040.KQ,바이오포트,바이오포트,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
188260,188260.KQ,세니젠,세니젠,코스닥,미분류,KIS종목정보,전체종목마스터
189300,189300.KQ,인텔리안테크,인텔리안테크,코스닥,Machinery/Equipment,KIS종목정보,전체종목마스터
189330,189330.KQ,씨이랩,씨이랩,코스닥,미분류,KIS종목정보,전체종목마스터
189690,189690.KQ,포시에스,포시에스,코스닥,미분류,KIS종목정보,전체종목마스터
189860,189860.KQ,서전기전,서전기전,코스닥,Power/Utility,KIS종목정보,전체종목마스터
189980,189980.KQ,흥국에프엔비,흥국에프엔비,코스닥,Food/Beverage,KIS종목정보,전체종목마스터
190510,190510.KQ,나무가,나무가,코스닥,Auto,KIS종목정보,전체종목마스터
190650,190650.KQ,코리아에셋투자증권,코리아에셋투자증권,코스닥,Securities,KIS종목정보,전체종목마스터
191410,191410.KQ,육일씨엔에쓰,육일씨엔에쓰,코스닥,미분류,KIS종목정보,전체종목마스터
191420,191420.KQ,테고사이언스,테고사이언스,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
192250,192250.KQ,케이사인,케이사인,코스닥,미분류,KIS종목정보,전체종목마스터
192390,192390.KQ,윈하이텍,윈하이텍,코스닥,Construction,KIS종목정보,전체종목마스터
192410,192410.KQ,오늘이엔엠,오늘이엔엠,코스닥,미분류,KIS종목정보,전체종목마스터
192440,192440.KQ,슈피겐코리아,슈피겐코리아,코스닥,미분류,KIS종목정보,전체종목마스터
193250,193250.KQ,링크드,링크드,코스닥,Game,KIS종목정보,전체종목마스터
194480,194480.KQ,데브시스터즈,데브시스터즈,코스닥,Game,KIS종목정보,전체종목마스터
194700,194700.KQ,노바렉스,노바렉스,코스닥,Food/Beverage,KIS종목정보,전체종목마스터
195500,195500.KQ,마니커에프앤지,마니커에프앤지,코스닥,미분류,KIS종목정보,전체종목마스터
195940,195940.KQ,HK이노엔,HK이노엔,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
195990,195990.KQ,에이비프로바이오,에이비프로바이오,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
196170,196170.KQ,알테오젠,알테오젠,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
196300,196300.KQ,HLB펩,HLB펩,코스닥,미분류,KIS종목정보,전체종목마스터
196450,196450.KQ,코아시아씨엠,코아시아씨엠,코스닥,Auto,KIS종목정보,전체종목마스터
196490,196490.KQ,디에이테크놀로지,디에이테크놀로지,코스닥,Machinery/Equipment,KIS종목정보,전체종목마스터
196700,196700.KQ,웹스,웹스,코스닥,미분류,KIS종목정보,전체종목마스터
197140,197140.KQ,디지캡,디지캡,코스닥,미분류,KIS종목정보,전체종목마스터
198080,198080.KQ,캐프,캐프,코스닥,미분류,KIS종목정보,전체종목마스터
198440,198440.KQ,강동씨앤엘,강동씨앤엘,코스닥,Construction,KIS종목정보,전체종목마스터
198940,198940.KQ,한주라이트메탈,한주라이트메탈,코스닥,미분류,KIS종목정보,전체종목마스터
199430,199430.KQ,케이엔알시스템,케이엔알시스템,코스닥,AI/Software,KIS종목정보,전체종목마스터
199480,199480.KQ,뱅크웨어글로벌,뱅크웨어글로벌,코스닥,미분류,KIS종목정보,전체종목마스터
199550,199550.KQ,레이저옵텍,레이저옵텍,코스닥,미분류,KIS종목정보,전체종목마스터
199730,199730.KQ,바이오인프라,바이오인프라,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
199800,199800.KQ,툴젠,툴젠,코스닥,미분류,KIS종목정보,전체종목마스터
199820,199820.KQ,제일일렉트릭,제일일렉트릭,코스닥,Power/Utility,KIS종목정보,전체종목마스터
200130,200130.KQ,콜마비앤에이치,콜마비앤에이치,코스닥,Cosmetics,KIS종목정보,전체종목마스터
200230,200230.KQ,텔콘RF제약,텔콘RF제약,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
200350,200350.KQ,아티스트스튜디오,아티스트스튜디오,코스닥,Entertainment/Media,KIS종목정보,전체종목마스터
200470,200470.KQ,에이팩트,에이팩트,코스닥,Semiconductor,KIS종목정보,전체종목마스터
200670,200670.KQ,휴메딕스,휴메딕스,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
200710,200710.KQ,에이디테크놀로지,에이디테크놀로지,코스닥,Machinery/Equipment,KIS종목정보,전체종목마스터
200780,200780.KQ,비씨월드제약,비씨월드제약,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
201490,201490.KQ,미투온,미투온,코스닥,미분류,KIS종목정보,전체종목마스터
203400,203400.KQ,에이비온,에이비온,코스닥,미분류,KIS종목정보,전체종목마스터
203450,203450.KQ,유니온바이오메트릭스,유니온바이오메트릭스,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
203650,203650.KQ,드림시큐리티,드림시큐리티,코스닥,미분류,KIS종목정보,전체종목마스터
203690,203690.KQ,아크솔루션스,아크솔루션스,코스닥,미분류,KIS종목정보,전체종목마스터
