symbol,name,dept,asOf
0096D0,미래에셋비전스팩9호,SPAC(소속부없음),2026-08-25
486630,KB제30호스팩,SPAC(소속부없음),2026-08-25
0098T0,교보19호스팩,SPAC(소속부없음),2026-08-25
493790,유안타제17호스팩,SPAC(소속부없음),2026-08-25
0004Y0,디비금융제14호스팩,SPAC(소속부없음),2026-08-25
250930,예선테크,관리종목(소속부없음),2026-08-25
489210,교보17호스팩,SPAC(소속부없음),2026-08-25
0130D0,신한제17호스팩,SPAC(소속부없음),2026-08-25
043100,알파AI,관리종목(소속부없음),2026-08-25
478110,이베스트스팩6호,SPAC(소속부없음),2026-08-25
466690,키움히어로제1호스팩,SPAC(소속부없음),2026-08-25
025870,신라에스지,관리종목(소속부없음),2026-08-25
0041B0,교보18호스팩,SPAC(소속부없음),2026-08-25
498390,한화플러스제5호스팩,SPAC(소속부없음),2026-08-25
288980,모아데이타,관리종목(소속부없음),2026-08-25
900100,파이온엑스,관리종목(소속부없음),2026-08-25
472220,신영스팩10호,관리종목(소속부없음),2026-08-25
225430,케이엠제약,관리종목(소속부없음),2026-08-25
208640,썸에이지,관리종목(소속부없음),2026-08-25
488060,유진스팩11호,SPAC(소속부없음),2026-08-25
106080,케이이엠텍,관리종목(소속부없음),2026-08-25
418620,E8,관리종목(소속부없음),2026-08-25
308100,형지글로벌,관리종목(소속부없음),2026-08-25
092600,앤씨앤,관리종목(소속부없음),2026-08-25
484130,하나34호스팩,SPAC(소속부없음),2026-08-25
473950,에스케이증권제13호스팩,SPAC(소속부없음),2026-08-25
469480,IBKS제24호스팩,SPAC(소속부없음),2026-08-25
487830,신한제15호스팩,SPAC(소속부없음),2026-08-25
468760,유진스팩10호,SPAC(소속부없음),2026-08-25
472230,에스케이증권제11호스팩,관리종목(소속부없음),2026-08-25
487720,키움제10호스팩,SPAC(소속부없음),2026-08-25
0068Y0,비엔케이제3호스팩,SPAC(소속부없음),2026-08-25
0041J0,엘에스스팩1호,SPAC(소속부없음),2026-08-25
465320,교보15호스팩,관리종목(소속부없음),2026-08-25
389680,유디엠텍,관리종목(소속부없음),2026-08-25
087260,모바일어플라이언스,투자주의환기종목(소속부없음),2026-08-25
199730,바이오인프라,관리종목(소속부없음),2026-08-25
475250,하나33호스팩,SPAC(소속부없음),2026-08-25
079970,투비소프트,관리종목(소속부없음),2026-08-25
474930,신한제13호스팩,SPAC(소속부없음),2026-08-25
101000,KS인더스트리,투자주의환기종목(소속부없음),2026-08-25
312610,에이에프더블류,관리종목(소속부없음),2026-08-25
276040,스코넥,관리종목(소속부없음),2026-08-25
473000,에스케이증권제12호스팩,SPAC(소속부없음),2026-08-25
475240,하나32호스팩,SPAC(소속부없음),2026-08-25
011080,형지I&C,관리종목(소속부없음),2026-08-25
044180,KD,관리종목(소속부없음),2026-08-25
313760,캐리,관리종목(소속부없음),2026-08-25
052770,아이톡시,관리종목(소속부없음),2026-08-25
121850,코이즈,관리종목(소속부없음),2026-08-25
269620,시스웍,관리종목(소속부없음),2026-08-25
