journal_id,status,outcome,filled,fill_date,fill_price,exit_date,exit_price,gross_pnl_pct,net_pnl_pct,mfe_pct,mae_pct,bars_held,entry_window_days,evaluation_window_days,target_progress,stop_progress,failure_reason,secondary_tags,regime_at_entry,regime_at_exit,signal_confidence,data_confidence,review_text,evaluated_at
586c08d32594325f5c97ae77,PENDING,PENDING,True,2026-06-22,700700.0,,,,,2.1429,-12.0,4,10,60,0.0537,0.827,,,횡보장,,MED,HIGH,Evaluation window still open.,2026-06-26T07:28:05
d430147af12eaa5713a1c9fe,PENDING,PENDING,True,2026-06-22,724724.0,,,,,21.9613,-4.558,4,10,60,0.5469,0.3122,,,횡보장,,MED,HIGH,Evaluation window still open.,2026-06-26T07:28:05
3efc3317a2aecf8e016807fe,PENDING,PENDING,False,,,,,,,,,0,,,,,,,횡보장,,MED,HIGH,Entry window still open.,2026-06-26T07:28:05
a980cee1037d5af4b670b234,PENDING,PENDING,True,2026-06-22,100100.0,,,,,2.775,-6.8385,4,10,60,0.0786,0.5325,,,횡보장,,MED,HIGH,Evaluation window still open.,2026-06-26T07:28:05
318cff72115ae3e7f2724bec,PENDING,PENDING,True,2026-06-22,123022.9,,,,,0.1619,-9.2308,4,10,60,0.005,0.7901,,,횡보장,,MED,HIGH,Evaluation window still open.,2026-06-26T07:28:05
be2041a9a2ff6209998a53de,PENDING,PENDING,True,2026-06-22,27327.3,,,,,5.9034,-7.6923,4,10,60,0.1993,0.714,,,횡보장,,MED,HIGH,Evaluation window still open.,2026-06-26T07:28:05
65bd94da395efcc594d658ec,PENDING,PENDING,True,2026-06-22,724724.0,,,,,21.9613,-4.558,4,10,60,0.5469,0.3122,,,횡보장,,HIGH,HIGH,Evaluation window still open.,2026-06-26T07:28:05
1e69ee1d019711ccfa708789,PENDING,PENDING,True,2026-06-22,158558.4,,,,,3.4744,-5.8117,4,10,60,0.0931,0.4285,,,횡보장,,HIGH,HIGH,Evaluation window still open.,2026-06-26T07:28:05
b875c42dd1927f18da1b22a3,PENDING,PENDING,True,2026-06-22,100100.0,,,,,2.775,-6.8385,4,10,60,0.0786,0.5325,,,횡보장,,HIGH,HIGH,Evaluation window still open.,2026-06-26T07:28:05
dbe17d62365195eb214a6c2e,PENDING,PENDING,True,2026-06-22,37887.85,,,,,3.8259,-4.7493,4,10,60,0.1157,0.395,,,횡보장,,MED,HIGH,Evaluation window still open.,2026-06-26T07:28:05
908094a84b7918489f17b3e1,PENDING,PENDING,True,2026-06-22,349849.5,,,,,12.447,-6.2235,4,3,5,0.5263,0.614,,,횡보장,,MED,HIGH,Evaluation window still open.,2026-06-26T07:28:05
001f4326ea7f120c134d9bc7,PENDING,PENDING,True,2026-06-22,158558.4,,,,,3.4744,-5.8117,4,3,5,0.183,0.7141,,,횡보장,,MED,HIGH,Evaluation window still open.,2026-06-26T07:28:05
ac526d1827772df6f6bf015d,PENDING,PENDING,True,2026-06-22,100100.0,,,,,2.775,-6.8385,4,3,5,0.1544,0.8876,,,횡보장,,MED,HIGH,Evaluation window still open.,2026-06-26T07:28:05
9faa3aa85d18dd7e1d52f8f8,PENDING,PENDING,True,2026-06-22,349849.5,,,,,12.447,-6.2235,4,5,20,0.3275,0.4912,,,횡보장,,MED,HIGH,Evaluation window still open.,2026-06-26T07:28:05
8de8d8126e8600e3068abfa0,PENDING,PENDING,True,2026-06-22,158558.4,,,,,3.4744,-5.8117,4,5,20,0.1138,0.5713,,,횡보장,,HIGH,HIGH,Evaluation window still open.,2026-06-26T07:28:05
d2ee3ff9e12a861abff227b9,PENDING,PENDING,True,2026-06-22,100100.0,,,,,2.775,-6.8385,4,5,20,0.096,0.71,,,횡보장,,MED,HIGH,Evaluation window still open.,2026-06-26T07:28:05
8b14bf2b79879847bd9bdf33,EVALUATED,STOP_HIT,True,2026-06-22,127.757627,2026-06-25,109.78,-13.8134,-14.0717,4.3716,-12.1665,4,10,60,0.153,1.0485,MARKET_GAP,,횡보장,RISK_ON,HIGH,HIGH,"추천 당시 높은 신호 신뢰도 (횡보장 환경)로 진입 검토됐습니다. 목표가 도달 전 손절가를 터치했습니다, 손익 -14.07% (MFE +4.37% / MAE -12.17%). 복기: 추천 후 갭 발생으로 예상 진입가와 실제 체결가 사이에 괴리가 생겼습니다. [MARKET_GAP] 유형으로 기록합니다.",2026-06-26T07:28:05
8c8695c8bc72f0cc112883b6,PENDING,PENDING,True,2026-06-25,438.35792,,,,,7.8667,-2.4731,1,10,60,0.2014,0.1749,,,횡보장,,HIGH,HIGH,Evaluation window still open.,2026-06-26T07:28:05
b5b5477e0e88c74af965b71b,PENDING,PENDING,True,2026-06-23,272.10183,,,,,6.8425,-4.7199,3,10,60,0.2379,0.4162,,,횡보장,,HIGH,HIGH,Evaluation window still open.,2026-06-26T07:28:05
e2f10814a50e0355d27b063a,PENDING,PENDING,True,2026-06-22,173.63346,,,,,5.2404,-2.5712,4,10,60,0.1912,0.2554,,,횡보장,,MED,MED,Evaluation window still open.,2026-06-26T07:28:05
f6cf03a201d0d7c32e8733db,PENDING,PENDING,False,,,,,,,,,0,,,,,,,횡보장,,HIGH,HIGH,Entry window still open.,2026-06-26T07:28:05
eeeca94f8fe0bb580252381a,EVALUATED,STOP_HIT,True,2026-06-22,127.757627,2026-06-25,110.778,-13.0299,-13.2905,4.3716,-12.1665,4,3,5,0.1724,1.1265,MARKET_GAP,,횡보장,RISK_ON,MED,HIGH,"추천 당시 중간 신호 신뢰도 (횡보장 환경)로 진입 검토됐습니다. 목표가 도달 전 손절가를 터치했습니다, 손익 -13.29% (MFE +4.37% / MAE -12.17%). 복기: 추천 후 갭 발생으로 예상 진입가와 실제 체결가 사이에 괴리가 생겼습니다. [MARKET_GAP] 유형으로 기록합니다.",2026-06-26T07:28:05
5f294a577b8310a802f3b78b,PENDING,PENDING,True,2026-06-23,986.80582,,,,,7.2275,-1.5997,3,3,5,0.6648,0.3442,,,횡보장,,MED,HIGH,Evaluation window still open.,2026-06-26T07:28:05
29253653ee327ae39cf0c2f8,PENDING,PENDING,True,2026-06-22,357.99764,,,,,6.1598,-2.7598,4,3,5,0.7025,0.7236,,,횡보장,,MED,HIGH,Evaluation window still open.,2026-06-26T07:28:05
be45b4e31f0ec76e66235470,EVALUATED,STOP_HIT,True,2026-06-23,28.1281,2026-06-25,25.948,-7.4733,-7.7506,5.1601,-9.0391,3,3,5,0.2458,1.2095,STOP_TOO_TIGHT,,횡보장,RISK_ON,MED,HIGH,"추천 당시 중간 신호 신뢰도 (횡보장 환경)로 진입 검토됐습니다. 목표가 도달 전 손절가를 터치했습니다, 손익 -7.75% (MFE +5.16% / MAE -9.04%). 복기: 의미 있는 상승 이후 손절가가 좁아 되돌림에 청산됐습니다. [STOP_TOO_TIGHT] 유형으로 기록합니다.",2026-06-26T07:28:05
db5465b4338a1cd78cd37154,PENDING,PENDING,True,2026-06-22,127.757627,,,,,4.3716,-12.1665,4,5,20,0.1098,0.9209,,,횡보장,,MED,HIGH,Evaluation window still open.,2026-06-26T07:28:05
caca9f5d1ba7f11ea8f9e74a,PENDING,PENDING,True,2026-06-25,438.35792,,,,,7.8667,-2.4731,1,5,20,0.2459,0.2308,,,횡보장,,HIGH,HIGH,Evaluation window still open.,2026-06-26T07:28:05
e930e2fb4a4bd26f783f295c,PENDING,PENDING,False,,,,,,,,,0,,,,,,,횡보장,,MED,HIGH,Entry window still open.,2026-06-26T07:28:05
9b9e76c7cee2334f96a7c1da,PENDING,PENDING,True,2026-06-23,986.80582,,,,,7.2275,-1.5997,3,5,20,0.4138,0.2775,,,횡보장,,HIGH,HIGH,Evaluation window still open.,2026-06-26T07:28:05
942d58416ac0ee5768440173,PENDING,PENDING,True,2026-06-22,357.99764,,,,,6.1598,-2.7598,4,5,20,0.4374,0.5932,,,횡보장,,HIGH,HIGH,Evaluation window still open.,2026-06-26T07:28:05
a67a866deb214045a735365f,PENDING,PENDING,True,2026-06-22,456.105644,,,,,7.7176,0.3498,4,10,60,0.5415,0.0669,,,횡보장,,MED,HIGH,Evaluation window still open.,2026-06-26T07:28:05
afb0c257c2049094f73c1bcc,PENDING,PENDING,True,2026-06-22,402.542155,,,,,4.145,-0.2394,4,10,60,0.3194,0.0506,,,횡보장,,MED,MED,Evaluation window still open.,2026-06-26T07:28:05
673b37ca2af035c5222ea654,PENDING,PENDING,True,2026-06-25,438.35792,,,,,7.8667,-2.4731,1,10,60,0.2014,0.1749,,,횡보장,,HIGH,HIGH,Evaluation window still open.,2026-06-26T07:28:05
3b720b347534c3948c954e18,PENDING,PENDING,True,2026-06-23,986.80582,,,,,7.2275,-1.5997,3,10,60,0.339,0.2053,,,횡보장,,HIGH,HIGH,Evaluation window still open.,2026-06-26T07:28:05
088ae8dfcc6ce213e7b46393,EVALUATED,STOP_HIT,True,2026-06-22,127.757627,2026-06-25,110.778,-13.0299,-13.2905,4.3716,-12.1665,4,3,5,0.1724,1.1265,MARKET_GAP,,횡보장,RISK_ON,MED,HIGH,"추천 당시 중간 신호 신뢰도 (횡보장 환경)로 진입 검토됐습니다. 목표가 도달 전 손절가를 터치했습니다, 손익 -13.29% (MFE +4.37% / MAE -12.17%). 복기: 추천 후 갭 발생으로 예상 진입가와 실제 체결가 사이에 괴리가 생겼습니다. [MARKET_GAP] 유형으로 기록합니다.",2026-06-26T07:28:05
b5e7890ffa947afdfc70c388,PENDING,PENDING,True,2026-06-23,986.80582,,,,,7.2275,-1.5997,3,3,5,0.6648,0.3442,,,횡보장,,MED,HIGH,Evaluation window still open.,2026-06-26T07:28:05
9c29a7353431edbf9287b45e,PENDING,PENDING,True,2026-06-22,537.90737,,,,,4.7677,-6.3029,4,3,5,0.2624,0.8187,,,횡보장,,MED,HIGH,Evaluation window still open.,2026-06-26T07:28:05
72b30dca43e78c2066741c1f,PENDING,PENDING,True,2026-06-22,127.757627,,,,,3.8542,-12.6019,4,5,20,0.0985,0.9238,,,횡보장,,MED,HIGH,Evaluation window still open.,2026-06-26T07:28:05
bec6abdfa5e356ae3420247c,PENDING,PENDING,True,2026-06-22,440.55011,,,,,7.33,-7.1209,4,5,20,0.234,0.6382,,,횡보장,,HIGH,HIGH,Evaluation window still open.,2026-06-26T07:28:05
9a6aa2470bcff696e57dbe65,PENDING,PENDING,True,2026-06-23,991.74075,,,,,6.6939,-2.0893,3,5,20,0.3965,0.3352,,,횡보장,,HIGH,HIGH,Evaluation window still open.,2026-06-26T07:28:05
