ticker,market,prediction_date,target_date,actual_direction,raw_predicted_direction,adjusted_predicted_direction,market_filtered_direction,raw_direction_hit,adjusted_direction_hit,market_filtered_direction_hit,raw_open_mid,adjusted_open_mid,actual_open,raw_open_error_pct,adjusted_open_error_pct,raw_close_mid,adjusted_close_mid,actual_close,raw_close_error_pct,adjusted_close_error_pct,raw_final_decision,adjusted_final_decision,market_filtered_decision,raw_confidence_score,adjusted_confidence_score,market_filtered_confidence_score,preferred_entry,stop_loss,take_profit1,entry_touched,stop_touched,tp1_touched,raw_pnl_pct,adjusted_pnl_pct,market_filtered_pnl_pct,market_regime,market_risk_score,adjustment_applied,market_filter_applied,improvement_label,improvement_reason,created_at
000990,한국주식,2026-05-14,2026-05-14,down,up,up,up,False,False,False,188421.1200,188421.1200,180500.0000,-4.2039,-4.2039,194093.6914,194093.6914,182500.0000,-5.9732,-5.9732,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,7.0000,7.0000,7.0000,177223.4640,155406.7809,208857.6545,False,False,False,0.0000,0.0000,0.0000,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
068270,한국주식,2026-05-14,2026-05-14,up,up,up,up,True,True,True,192405.0000,192405.0000,190400.0000,-1.0421,-1.0421,192949.5714,192949.5714,192900.0000,-0.0257,-0.0257,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,17.0000,17.0000,17.0000,187801.2777,184110.3876,200177.7224,False,False,False,0.0000,0.0000,0.0000,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
009150,한국주식,2026-05-14,2026-05-14,up,up,up,up,True,True,True,1040319.0000,1040319.0000,1024000.0000,-1.5687,-1.5687,1061623.2857,1061623.2857,1037000.0000,-2.3194,-2.3194,저항선 근처 출발: 돌파 확인 전 선매수 금지,저항선 근처 출발: 돌파 확인 전 선매수 금지,저항선 근처 출발: 돌파 확인 전 선매수 금지,7.0000,7.0000,7.0000,1035117.4050,948798.3423,1160280.0458,True,False,False,0.1819,0.1819,0.1819,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
196170,한국주식,2026-05-14,2026-05-14,up,up,up,up,True,True,True,356053.2000,356053.2000,368500.0000,3.4958,3.4958,357597.4857,357597.4857,380000.0000,6.2647,6.2647,저항선 근처 출발: 돌파 확인 전 선매수 금지,저항선 근처 출발: 돌파 확인 전 선매수 금지,저항선 근처 출발: 돌파 확인 전 선매수 금지,7.0000,7.0000,7.0000,354272.9340,343647.7840,387584.4508,False,False,False,0.0000,0.0000,0.0000,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
011070,한국주식,2026-05-14,2026-05-14,up,up,up,up,True,True,True,761283.0000,761283.0000,760000.0000,-0.1685,-0.1685,781327.2857,781327.2857,764000.0000,-2.2177,-2.2177,저항선 근처 출발: 돌파 확인 전 선매수 금지,저항선 근처 출발: 돌파 확인 전 선매수 금지,저항선 근처 출발: 돌파 확인 전 선매수 금지,7.0000,7.0000,7.0000,757476.5850,676262.6932,875236.7281,True,False,False,0.8612,0.8612,0.8612,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
000100,한국주식,2026-05-14,2026-05-14,up,up,up,up,True,True,True,85657.1100,85657.1100,84700.0000,-1.1174,-1.1174,85994.0743,85994.0743,86600.0000,0.7046,0.7046,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,17.0000,17.0000,17.0000,84066.8408,82301.5798,90309.8210,False,False,False,0.0000,0.0000,0.0000,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
267260,한국주식,2026-05-14,2026-05-14,down,up,up,up,False,False,False,1295744.0000,1295744.0000,1325000.0000,2.2579,2.2579,1332017.5714,1332017.5714,1254000.0000,-5.8571,-5.8571,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,7.0000,7.0000,7.0000,1271178.2322,1225101.5681,1417663.3609,True,False,False,0.0000,0.0000,0.0000,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
214450,한국주식,2026-05-14,2026-05-14,up,up,up,up,True,True,True,316637.6000,316637.6000,314000.0000,-0.8330,-0.8330,320707.6000,320707.6000,326500.0000,1.8061,1.8061,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,7.0000,7.0000,7.0000,305426.5127,295529.3320,319777.4249,False,False,True,0.0000,0.0000,0.0000,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
214150,한국주식,2026-05-14,2026-05-14,down,up,up,up,False,False,False,51428.4000,51428.4000,50800.0000,-1.2219,-1.2219,51998.8286,51998.8286,49550.0000,-4.7094,-4.7094,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,7.0000,7.0000,7.0000,49598.1540,48039.8843,54551.8066,True,False,False,0.0000,0.0000,0.0000,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
010120,한국주식,2026-05-14,2026-05-14,down,up,up,up,False,False,False,288135.0000,288135.0000,297000.0000,3.0767,3.0767,296991.0000,296991.0000,279500.0000,-5.8894,-5.8894,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,7.0000,7.0000,7.0000,270725.5800,236842.1364,331402.4229,False,False,False,0.0000,0.0000,0.0000,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
