market,symbol,ticker,current_price,last_price,현재가,quote_source,quote_source_label,data_status,price_data_status,last_time,updated_at,quote_fallback_price,실시간현재가,current_price_source
kr,095340,095340,245000.0,245000.0,"245,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,245000.0,"245,000원",KIS 현재가
kr,096770,096770,121800.0,121800.0,"121,800원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,121800.0,"121,800원",KIS 현재가
kr,103590,103590,107300.0,107300.0,"107,300원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,107300.0,"107,300원",KIS 현재가
kr,105560,105560,159500.0,159500.0,"159,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,159500.0,"159,500원",KIS 현재가
kr,108320,108320,61500.0,61500.0,"61,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,61500.0,"61,500원",KIS 현재가
kr,108490,108490,312000.0,312000.0,"312,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,312000.0,"312,000원",KIS 현재가
kr,121600,121600,73700.0,73700.0,"73,700원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,73700.0,"73,700원",KIS 현재가
kr,128940,128940,449500.0,449500.0,"449,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,449500.0,"449,500원",KIS 현재가
kr,131970,131970,169000.0,169000.0,"169,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,169000.0,"169,000원",KIS 현재가
kr,138040,138040,107300.0,107300.0,"107,300원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,107300.0,"107,300원",KIS 현재가
kr,145020,145020,264000.0,264000.0,"264,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,264000.0,"264,000원",KIS 현재가
kr,196170,196170,373500.0,373500.0,"373,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,373500.0,"373,500원",KIS 현재가
kr,207940,207940,1419000.0,1419000.0,"1,419,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,1419000.0,"1,419,000원",KIS 현재가
kr,214150,214150,50800.0,50800.0,"50,800원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,50800.0,"50,800원",KIS 현재가
kr,214450,214450,305500.0,305500.0,"305,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,305500.0,"305,500원",KIS 현재가
kr,222800,222800,132400.0,132400.0,"132,400원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,132400.0,"132,400원",KIS 현재가
kr,240810,240810,124800.0,124800.0,"124,800원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,124800.0,"124,800원",KIS 현재가
kr,247540,247540,226500.0,226500.0,"226,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,226500.0,"226,500원",KIS 현재가
kr,259960,259960,260500.0,260500.0,"260,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,260500.0,"260,500원",KIS 현재가
kr,267260,267260,1154000.0,1154000.0,"1,154,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,1154000.0,"1,154,000원",KIS 현재가
kr,272210,272210,113900.0,113900.0,"113,900원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,113900.0,"113,900원",KIS 현재가
kr,277810,277810,774000.0,774000.0,"774,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,774000.0,"774,000원",KIS 현재가
kr,278280,278280,51100.0,51100.0,"51,100원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,51100.0,"51,100원",KIS 현재가
kr,278470,278470,397500.0,397500.0,"397,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,397500.0,"397,500원",KIS 현재가
kr,293490,293490,10220.0,10220.0,"10,220원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,10220.0,"10,220원",KIS 현재가
kr,298040,298040,3888000.0,3888000.0,"3,888,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,3888000.0,"3,888,000원",KIS 현재가
kr,326030,326030,95700.0,95700.0,"95,700원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,95700.0,"95,700원",KIS 현재가
kr,329180,329180,712000.0,712000.0,"712,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,712000.0,"712,000원",KIS 현재가
kr,352820,352820,233500.0,233500.0,"233,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,233500.0,"233,500원",KIS 현재가
kr,353200,353200,164300.0,164300.0,"164,300원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,164300.0,"164,300원",KIS 현재가
kr,373220,373220,399000.0,399000.0,"399,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,399000.0,"399,000원",KIS 현재가
kr,375500,375500,82500.0,82500.0,"82,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,82500.0,"82,500원",KIS 현재가
kr,402340,402340,1195000.0,1195000.0,"1,195,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,1195000.0,"1,195,000원",KIS 현재가
kr,403870,403870,63000.0,63000.0,"63,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,63000.0,"63,000원",KIS 현재가
kr,454910,454910,108500.0,108500.0,"108,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,108500.0,"108,500원",KIS 현재가
us,AAOI,AAOI,181.49,181.49,$181.49,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,181.49,$181.49,KIS 해외 현재가
us,AAPL,AAPL,308.82,308.82,$308.82,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,308.82,$308.82,KIS 해외 현재가
us,ACHR,ACHR,6.36,6.36,$6.36,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,6.36,$6.36,KIS 해외 현재가
us,AI,AI,9.29,9.29,$9.29,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,9.29,$9.29,KIS 해외 현재가
us,ALAB,ALAB,306.88,306.88,$306.88,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,306.88,$306.88,KIS 해외 현재가
us,AMAT,AMAT,432.16,432.16,$432.16,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,432.16,$432.16,KIS 해외 현재가
us,AMD,AMD,467.51,467.51,$467.51,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,467.51,$467.51,KIS 해외 현재가
us,AMZN,AMZN,266.32,266.32,$266.32,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,266.32,$266.32,KIS 해외 현재가
us,ANET,ANET,154.03,154.03,$154.03,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,154.03,$154.03,KIS 해외 현재가
us,APP,APP,481.68,481.68,$481.68,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,481.68,$481.68,KIS 해외 현재가
us,ARM,ARM,306.51,306.51,$306.51,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,306.51,$306.51,KIS 해외 현재가
