symbol,corp_code,name,year,revenue,operating_income,net_income,total_equity,total_debt,total_assets,current_assets,current_liabilities,retained_earnings,eps,eps_prev,per,pbr,shares_outstanding,market_cap,roe,debt_ratio,operating_margin,net_margin,revenue_growth,eps_growth,peg,div,quality_score,value_score,growth_score,updatedAt
373220,01515323,,2024,25619585000000.0,575387000000.0,338602000000.0,30966543000000.0,29340248000000.0,60306791000000.0,15327395000000.0,12054922000000.0,1397211000000.0,,,,,,,1.09,94.75,2.25,1.32,,,,,39.2,51.4,50.0,2026-06-22 16:43:45
373220,01515323,,2023,33745470000000.0,2163234000000.0,1637985000000.0,24373509000000.0,21063635000000.0,45437144000000.0,17208396000000.0,10937185000000.0,2364496000000.0,,,,,,,6.72,86.42,6.41,4.85,,,,,52.2,56.7,50.0,2026-06-22 16:43:45
375500,01524093,,2024,8318442435057.0,270944859542.0,229223745163.0,4845710111118.0,4866692108869.0,9712402219987.0,6005539219289.0,3854535631268.0,1076158962835.0,,,,,,,4.73,100.43,3.26,2.76,,,,,44.6,53.7,50.0,2026-06-22 16:43:45
375500,01524093,,2023,7991063616680.0,330659390232.0,202169475522.0,4768781215299.0,4575277542881.0,9344058758180.0,5782745971638.0,3748597999373.0,990488915347.0,,,,,,,4.24,95.94,4.14,2.53,,,,,45.3,53.8,50.0,2026-06-22 16:43:45
402340,01596425,,2024,1906611000000.0,3912583000000.0,3650515000000.0,19585415000000.0,2335636000000.0,21921051000000.0,2702773000000.0,1396345000000.0,3908275000000.0,,,,,,,18.64,11.93,205.21,191.47,,,,,91.2,73.7,50.0,2026-06-22 16:43:45
402340,01596425,,2023,2276508000000.0,-2339698000000.0,-1314834000000.0,15816517000000.0,2153491000000.0,17970008000000.0,2288523000000.0,1380605000000.0,320369000000.0,,,,,,,-8.31,13.62,-102.78,-57.76,,,,,38.0,58.6,50.0,2026-06-22 16:43:45
403870,01288827,,2024,,93945693775.0,86280231062.0,277910828155.0,41985505352.0,319896333507.0,237711760468.0,40960057034.0,253432828213.0,,,,,,,31.05,15.11,,,,,,,87.7,78.5,50.0,2026-06-22 16:43:45
403870,01288827,,2023,179086660832.0,95206074427.0,80432402487.0,277080288653.0,43607317988.0,320687606641.0,275836046536.0,41554582599.0,174755293581.0,,,,,,,29.03,15.74,53.16,44.91,,,,,100.0,78.4,50.0,2026-06-22 16:43:45
454910,01105153,,2024,46829943837.0,-41202116246.0,-36560851475.0,402501180228.0,19189791718.0,421690971946.0,342028598622.0,15446451719.0,-136709021061.0,,,,,,,-9.08,4.77,-87.98,-78.07,,,,,39.3,59.5,50.0,2026-06-22 16:43:45
454910,01105153,,2023,53038372299.0,-19167549522.0,-15873538546.0,438808093399.0,17613986323.0,456422079722.0,426104997914.0,13352660263.0,-98756840949.0,,,,,,,-3.62,4.01,-36.14,-29.93,,,,,39.4,59.6,50.0,2026-06-22 16:43:45
