signalDate,symbol,setup,regime,rsi14,distMa20Pct,entry,grossPnlPct,netPnlPct,outcome,barsHeld,exitDate
2012-07-05,KOSDAQ,BREAKOUT,BULL,93.6,3.3,499.32,-4.0,-4.5,LOSS,6,2012-07-13
2012-07-06,KOSDAQ,BREAKOUT,SIDE,91.4,2.9,497.06,-4.0,-4.5,LOSS,5,2012-07-13
2012-07-09,KOSDAQ,BREAKOUT,SIDE,83.2,2.2,497.23,-4.0,-4.5,LOSS,4,2012-07-13
2012-07-10,KOSDAQ,BREAKOUT,BEAR,67.6,1.4,492.79,-4.0,-4.5,LOSS,3,2012-07-13
2012-07-11,KOSDAQ,BREAKOUT,BEAR,65.4,1.1,493.52,-4.0,-4.5,LOSS,2,2012-07-13
2012-07-24,KOSPI,BOTTOM_CATCH,SIDE,31.8,-1.9,1760.22,7.191,6.691,WIN,10,2012-08-07
2012-07-26,KOSDAQ,BOTTOM_CATCH,BEAR,19.0,-5.3,463.76,2.219,1.719,WIN,10,2012-08-09
2012-07-27,KOSDAQ,BOTTOM_CATCH,BULL,27.7,-3.6,468.44,1.509,1.009,WIN,10,2012-08-10
2012-08-10,KOSPI,BREAKOUT,BULL,78.8,5.4,1945.33,-1.412,-1.912,LOSS,10,2012-08-27
2012-08-13,KOSPI,BREAKOUT,BULL,74.5,4.3,1942.61,-1.353,-1.853,LOSS,10,2012-08-28
2012-08-14,KOSPI,BREAKOUT,BULL,83.2,5.3,1956.35,-1.422,-1.922,LOSS,10,2012-08-29
2012-08-16,KOSPI,BREAKOUT,BULL,82.5,4.9,1964.07,-2.937,-3.437,LOSS,10,2012-08-30
2012-08-17,KOSPI,BREAKOUT,BULL,75.0,3.9,1944.67,-2.034,-2.534,LOSS,10,2012-08-31
2012-08-20,KOSPI,BREAKOUT,SIDE,73.3,3.6,1954.51,-2.139,-2.639,LOSS,10,2012-09-03
2012-08-21,KOSPI,BREAKOUT,BULL,66.5,3.0,1939.6,-1.674,-2.174,LOSS,10,2012-09-04
2012-08-22,KOSPI,BREAKOUT,SIDE,64.5,2.2,1934.56,-3.129,-3.629,LOSS,10,2012-09-05
2012-08-23,KOSPI,BREAKOUT,SIDE,69.5,2.1,1921.08,-2.074,-2.574,LOSS,10,2012-09-06
2012-08-27,KOSDAQ,BREAKOUT,SIDE,84.0,3.0,495.37,3.379,2.879,WIN,10,2012-09-10
2012-08-28,KOSDAQ,BREAKOUT,SIDE,85.5,3.8,502.32,2.409,1.909,WIN,10,2012-09-11
2012-08-29,KOSDAQ,BREAKOUT,SIDE,87.7,4.6,507.19,2.037,1.537,WIN,10,2012-09-12
2012-08-30,KOSDAQ,BREAKOUT,SIDE,87.1,4.2,506.19,2.823,2.323,WIN,10,2012-09-13
2012-08-31,KOSDAQ,BREAKOUT,SIDE,87.4,4.3,511.62,1.47,0.97,WIN,10,2012-09-14
2012-09-03,KOSDAQ,BREAKOUT,SIDE,87.8,4.7,514.05,0.963,0.463,WIN,10,2012-09-17
2012-09-04,KOSDAQ,BREAKOUT,SIDE,77.9,3.3,509.46,2.76,2.26,WIN,10,2012-09-18
2012-09-05,KOSDAQ,BREAKOUT,BEAR,72.2,2.5,508.3,3.887,3.387,WIN,10,2012-09-19
2012-09-06,KOSDAQ,BREAKOUT,BEAR,71.8,2.4,512.08,3.121,2.621,WIN,10,2012-09-20
2012-09-07,KOSDAQ,BREAKOUT,BULL,72.6,2.8,513.28,3.548,3.048,WIN,10,2012-09-21
2012-09-10,KOSDAQ,BREAKOUT,BULL,72.4,2.7,512.97,3.764,3.264,WIN,10,2012-09-24
2012-09-11,KOSDAQ,BREAKOUT,SIDE,73.1,2.8,517.86,0.985,0.485,WIN,10,2012-09-25
2012-09-12,KOSDAQ,BREAKOUT,BULL,71.0,3.1,519.71,0.192,-0.308,LOSS,10,2012-09-26
2012-09-13,KOSDAQ,BREAKOUT,BULL,75.8,3.3,524.96,-1.271,-1.771,LOSS,10,2012-09-27
2012-09-14,KOSPI,BREAKOUT,BULL,69.0,4.2,2005.54,-0.465,-0.965,LOSS,10,2012-09-28
2012-09-14,KOSDAQ,BREAKOUT,BULL,80.1,2.7,520.43,0.644,0.144,WIN,10,2012-09-28
2012-09-17,KOSPI,BREAKOUT,BULL,67.9,3.8,1998.3,-0.114,-0.614,LOSS,10,2012-10-02
2012-09-17,KOSDAQ,BREAKOUT,BULL,76.6,2.4,521.03,1.253,0.753,WIN,10,2012-10-02
2012-09-18,KOSPI,BREAKOUT,BULL,66.6,3.8,2000.2,-0.376,-0.876,LOSS,10,2012-10-04
2012-09-18,KOSDAQ,BREAKOUT,BULL,75.8,2.9,525.0,1.227,0.727,WIN,10,2012-10-04
2012-09-19,KOSPI,BREAKOUT,BULL,74.1,3.7,1997.65,-0.124,-0.624,LOSS,10,2012-10-05
2012-09-19,KOSDAQ,BREAKOUT,BULL,78.4,3.5,529.93,1.111,0.611,WIN,10,2012-10-05
2012-09-20,KOSPI,BREAKOUT,BULL,68.7,2.7,2000.05,-0.908,-1.408,LOSS,10,2012-10-08
2012-09-20,KOSDAQ,BREAKOUT,BULL,76.8,3.2,530.72,1.332,0.832,WIN,10,2012-10-08
2012-09-21,KOSPI,BREAKOUT,SIDE,69.3,3.1,1996.42,-0.871,-1.371,LOSS,10,2012-10-09
2012-09-21,KOSDAQ,BREAKOUT,SIDE,76.4,3.5,533.68,1.265,0.765,WIN,10,2012-10-09
2012-09-24,KOSPI,BREAKOUT,BULL,71.2,2.9,1994.08,-2.3,-2.8,LOSS,10,2012-10-10
2012-09-24,KOSDAQ,BREAKOUT,BULL,89.0,3.3,532.51,0.254,-0.246,LOSS,10,2012-10-10
2012-09-25,KOSPI,BREAKOUT,SIDE,78.5,2.1,1973.11,-2.028,-2.528,LOSS,10,2012-10-11
2012-09-26,KOSPI,BREAKOUT,SIDE,73.6,1.4,1969.65,-1.848,-2.348,LOSS,10,2012-10-12
2012-09-27,KOSPI,BREAKOUT,SIDE,67.4,1.6,2000.01,-4.0,-4.5,LOSS,8,2012-10-11
2012-09-28,KOSPI,BREAKOUT,SIDE,70.7,1.8,1998.52,-2.851,-3.351,LOSS,10,2012-10-16
2012-09-28,KOSDAQ,BREAKOUT,SIDE,63.7,1.0,525.92,0.82,0.32,WIN,10,2012-10-16
2012-10-02,KOSPI,BREAKOUT,SIDE,72.6,1.6,1998.73,-2.18,-2.68,LOSS,10,2012-10-17
2012-10-02,KOSDAQ,BREAKOUT,SIDE,64.9,1.6,529.71,-0.281,-0.781,LOSS,10,2012-10-17
2012-10-04,KOSPI,BREAKOUT,BULL,65.1,1.2,2004.62,-4.0,-4.5,LOSS,5,2012-10-11
2012-10-04,KOSDAQ,BREAKOUT,BULL,65.5,2.1,533.97,-3.71,-4.21,LOSS,10,2012-10-18
2012-10-05,KOSPI,BREAKOUT,BULL,65.5,1.0,1994.05,-2.518,-3.018,LOSS,10,2012-10-19
2012-10-05,KOSDAQ,BREAKOUT,BULL,66.6,2.6,537.98,-4.0,-4.5,LOSS,9,2012-10-18
2012-10-08,KOSDAQ,BREAKOUT,SIDE,69.9,2.7,539.4,-4.0,-4.5,LOSS,8,2012-10-18
2012-10-09,KOSDAQ,BREAKOUT,SIDE,71.7,2.9,538.25,-4.0,-4.5,LOSS,7,2012-10-18
2012-10-10,KOSDAQ,BREAKOUT,BEAR,60.0,1.4,533.18,-4.0,-4.5,LOSS,7,2012-10-19
2012-10-12,KOSDAQ,BREAKOUT,BEAR,61.1,2.2,542.76,-4.0,-4.5,LOSS,4,2012-10-18
2012-10-25,KOSPI,BOTTOM_CATCH,SIDE,27.8,-1.7,1917.64,-0.168,-0.668,LOSS,10,2012-11-08
2012-10-30,KOSDAQ,BOTTOM_CATCH,BEAR,30.4,-4.3,506.22,1.497,0.997,WIN,10,2012-11-13
2012-12-17,KOSPI,BREAKOUT,BULL,71.3,2.2,1990.72,1.066,0.566,WIN,10,2013-01-04
2012-12-18,KOSPI,BREAKOUT,BULL,80.1,2.4,2002.11,0.457,-0.043,LOSS,10,2013-01-07
