symbol,market,flow_mode,foreign_net_buy,institution_net_buy,individual_net_buy,program_net_buy,foreign_flow_score,institution_flow_score,program_flow_score,intraday_flow_score,last_price,intraday_change_pct,intraday_volume,intraday_trading_value,volume_growth_pct,trading_value_growth_pct,execution_strength,orderbook_pressure,intraday_momentum_score,flow_data_available,flow_available,flow_data_source,flow_source,flow_source_label,flow_fetch_status,flow_failure_reason,kr_flow_attempted,kr_flow_success,kr_flow_error,kr_flow_failure_detail,kr_flow_endpoint_name,kr_flow_request_params,kr_flow_http_status,kr_flow_api_code,kr_flow_response_fields,kr_flow_response_row_count,kr_flow_parser_status,kr_flow_session_status,flow_updated_at,flow_warning
SNOW,미국주식,us_momentum,,,,,,,,54,172.22,4.0353,0.0,0.0,,,,0.0,54.0353,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
MDB,미국주식,us_momentum,,,,,,,,52,326.15,2.7244,0.0,0.0,,,,0.0,52.7244,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
RDDT,미국주식,us_momentum,,,,,,,,44,141.69,-5.5652,0.0,0.0,,,,0.0,44.4348,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
DUOL,미국주식,us_momentum,,,,,,,,50,106.63,0.9371,0.0,0.0,,,,0.0,50.9371,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
HOOD,미국주식,us_momentum,,,,,,,,47,73.66,-2.9768,0.0,0.0,,,,0.0,47.0232,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
COIN,미국주식,us_momentum,,,,,,,,45,185.01,-4.4172,0.0,0.0,,,,0.0,45.5828,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
VRT,미국주식,us_momentum,,,,,,,,51,327.48,1.2616,0.0,0.0,,,,0.0,51.2616,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
ETN,미국주식,us_momentum,,,,,,,,52,391.37,2.5845,0.0,0.0,,,,0.0,52.5845,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
CEG,미국주식,us_momentum,,,,,,,,52,294.09,2.8898,0.0,0.0,,,,0.0,52.8898,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
SMR,미국주식,us_momentum,,,,,,,,50,11.41,0.7061,0.0,0.0,,,,0.0,50.7061,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
